あきる野市,-1,-1,-4472,名詞,固有名詞,地域,一般,*,*,あきる野市,アキルノシ,アキルノシ
あま市,-1,-1,-2078,名詞,固有名詞,地域,一般,*,*,あま市,アマシ,アマシ
あわら市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,あわら市,アワラシ,アワラシ
いすみ市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,いすみ市,イスミシ,イスミシ
いちき串木野市,-1,-1,-7408,名詞,固有名詞,地域,一般,*,*,いちき串木野市,イチキクシキノシ,イチキクシキノシ
いなべ市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,いなべ市,イナベシ,イナベシ
いわき市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,いわき市,イワキシ,イワキシ
うきは市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,うきは市,ウキハシ,ウキハシ
うるま市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,うるま市,ウルマシ,ウルマシ
えびの市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,えびの市,エビノシ,エビノシ
かすみがうら市,-1,-1,-7408,名詞,固有名詞,地域,一般,*,*,かすみがうら市,カスミガウラシ,カスミガウラシ
かほく市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,かほく市,カホクシ,カホクシ
さいたま市中央区,-1,-1,-9050,名詞,固有名詞,地域,一般,*,*,さいたま市中央区,サイタマシチュウオウク,サイタマシチュウオウク
さいたま市北区,-1,-1,-7408,名詞,固有名詞,地域,一般,*,*,さいたま市北区,サイタマシキタク,サイタマシキタク
さいたま市南区,-1,-1,-7408,名詞,固有名詞,地域,一般,*,*,さいたま市南区,サイタマシミナミク,サイタマシミナミク
さいたま市大宮区,-1,-1,-9050,名詞,固有名詞,地域,一般,*,*,さいたま市大宮区,サイタマシオオミヤク,サイタマシオオミヤク
さいたま市岩槻区,-1,-1,-9050,名詞,固有名詞,地域,一般,*,*,さいたま市岩槻区,サイタマシイワツキク,サイタマシイワツキク
さいたま市桜区,-1,-1,-7408,名詞,固有名詞,地域,一般,*,*,さいたま市桜区,サイタマシサクラク,サイタマシサクラク
さいたま市浦和区,-1,-1,-9050,名詞,固有名詞,地域,一般,*,*,さいたま市浦和区,サイタマシウラワク,サイタマシウラワク
さいたま市緑区,-1,-1,-7408,名詞,固有名詞,地域,一般,*,*,さいたま市緑区,サイタマシミドリク,サイタマシミドリク
さいたま市西区,-1,-1,-7408,名詞,固有名詞,地域,一般,*,*,さいたま市西区,サイタマシニシク,サイタマシニシク
さいたま市見沼区,-1,-1,-9050,名詞,固有名詞,地域,一般,*,*,さいたま市見沼区,サイタマシミヌマク,サイタマシミヌマク
さくら市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,さくら市,サクラシ,サクラシ
さぬき市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,さぬき市,サヌキシ,サヌキシ
たつの市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,たつの市,タツノシ,タツノシ
つがる市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,つがる市,ツガルシ,ツガルシ
つくばみらい市,-1,-1,-7408,名詞,固有名詞,地域,一般,*,*,つくばみらい市,ツクバミライシ,ツクバミライシ
つくば市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,つくば市,ツクバシ,ツクバシ
にかほ市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,にかほ市,ニカホシ,ニカホシ
ひたちなか市,-1,-1,-5878,名詞,固有名詞,地域,一般,*,*,ひたちなか市,ヒタチナカシ,ヒタチナカシ
ふじみ野市,-1,-1,-4472,名詞,固有名詞,地域,一般,*,*,ふじみ野市,フジミノシ,フジミノシ
みどり市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,みどり市,ミドリシ,ミドリシ
みやま市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,みやま市,ミヤマシ,ミヤマシ
みよし市,-1,-1,-3200,名詞,固有名詞,地域,一般,*,*,みよし市,ミヨシシ,ミヨシシ
むつ市,-1,-1,-2078,名詞,固有名詞,地域,一般,*,*,むつ市,ムツシ,ムツシ
一宮市,-1,-1,-2078,名詞,固有名詞,地域,一般,*,*,一宮市,イチノミヤシ,イチノミヤシ
一関市,-1,-1,-2078,名詞,固有名詞,地域,一般,*,*,一関市,イチノセキシ,イチノセキシ
七尾市,-1,-1,-2078,名詞,固有名詞,地域,一般,*,*,七尾市,ナナオシ,ナナオシ
三井郡大刀洗町,-1,-1,-7408,名詞,固有名詞,地域,一般,*,*,三井郡大刀洗町,ミイグンタチアライマチ,ミイグンタチアライマチ
三原市,-1,-1,-2078,名詞,固有名詞,地域,一般,*,*,三原市,ミハラシ,ミハラシ
三好市,-1,-1,-2078,名詞,固有名詞,地域,一般,*,*,三好市,ミヨシシ,ミヨシシ
三好郡東みよし町,-1,-1,-9050,名詞,固有名詞,地域,一般,*,*,三好郡東みよし町,ミヨシグンヒガシミヨシチョウ,ミヨシグンヒガシミヨシチョウ
